file,sheet,total_rows,valid_lat_count,min_lat,max_lat,min_lon,max_lon,min_date,max_date
ku2024_data.xls,ku2601,2099,1965,36.2849898,36.9480977,127.0333082,127.9706448,2026-05-21T03:00:38,2026-07-14T12:00:37
ku2024_data.xls,ku2603,704,671,36.4277879,36.9436435,127.3905675,127.9705932,2026-05-27T03:00:36,2026-06-24T12:05:03
ku2024_data.xls,ku2604,13198,13165,36.3822668,36.9438503,127.3927943,128.6888064,2026-05-27T03:00:36,2026-09-11T12:00:46
ku2024_data.xls,ku2602,1113,1077,36.4278939,36.9439083,127.3928052,127.9706171,2026-05-27T03:00:39,2026-08-27T12:02:05
ku2024_data.xls,ku2605,1092,976,36.3711788,36.9439138,127.3836799,127.970606,2026-05-27T03:00:44,2026-07-30T12:01:02
ku2024_data (2).xls,ku2606,245,224,36.4285349,36.9583682,127.3927942,127.9122427,2026-07-19T23:01:09,2026-09-11T10:53:29
ku2024_data (2).xls,ku2506,320,304,36.9631588,37.0218451,127.8901671,127.966941,2025-06-24T07:01:03,2025-08-31T08:02:10
ku2024_data (2).xls,ku2505,419,156,36.9536641,36.9852729,127.9382956,127.9700475,2025-06-24T07:03:36,2025-10-08T08:04:54
ku2024_data (2).xls,ku2504,141,53,36.9640822,36.9759944,127.9557446,127.9677909,2025-06-05T05:12:37,2025-06-19T08:01:05
ku2024_data (2).xls,ku2503,315,239,37.0542828,37.0571765,127.8693566,127.8726002,2025-04-16T11:01:03,2025-05-09T08:01:55
ku2024_data (2).xls,ku2501,398,337,37.0231763,37.0294917,127.9214443,127.9260872,2025-04-15T23:01:04,2025-05-02T09:02:54
ku2024_data (2).xls,ku2502,302,275,37.0487398,37.0587172,127.8687083,127.8767465,2025-04-16T21:00:57,2025-05-09T08:01:28
ku2024_data (3).xls,ku2606,245,224,36.4285349,36.9583682,127.3927942,127.9122427,2026-07-19T23:01:09,2026-09-11T10:53:29
ku2024_data (3).xls,ke2411,12559,12556,34.9956741,52.6744652,127.5142677,133.0958099,2024-12-17T07:00:35,2026-04-24T16:00:31
ku2024_data (3).xls,ke2424,7322,7321,35.0153344,52.6791496,123.2685436,132.737854,2024-12-17T07:01:09,2026-04-13T16:00:38
ku2024_data (3).xls,ke2421,12792,12792,34.6086693,50.2289581,115.2488632,128.9799652,2024-12-17T07:00:40,2026-04-17T09:00:32
ku2024_data (3).xls,ke2407,17054,17054,35.0601768,49.067112,118.4590912,128.9796906,2024-12-17T07:00:32,2026-09-12T09:00:33
ku2024_data (3).xls,ke2406,2413,2003,35.0624046,39.9791183,123.1196136,128.9406738,2024-12-17T07:00:33,2025-03-27T16:02:03
ku2024_data (3).xls,ke2401,3544,3543,35.0516586,48.7587547,117.0133896,128.9657745,2024-12-17T07:00:34,2025-04-27T16:00:33
ku2024_data (3).xls,ke2412,5978,5978,35.0557365,49.3500137,126.3715668,135.9250793,2024-12-17T07:00:33,2025-11-02T07:02:23
ku2024_data (3).xls,ke2405,10767,10766,35.0525093,55.9355736,107.4301453,128.9898224,2024-12-17T07:00:31,2026-04-04T09:00:37
ku2024_data (3).xls,ke2423,13645,13645,34.4188728,50.4742584,115.1943893,128.9796906,2024-12-17T07:00:32,2026-04-27T16:00:32
ku2024_data (3).xls,ke2402,8505,8505,35.0488926,47.6765404,105.6116257,128.9588318,2024-12-17T07:00:36,2025-11-06T07:06:20
ku2024_data (3).xls,ke2403,11263,9488,35.0573387,64.9837036,117.8758011,128.9553375,2024-12-17T07:00:36,2026-03-14T16:00:36
ku2024_data (3).xls,ke2422,16009,16001,35.0554543,49.4049301,112.0657883,128.9638824,2024-12-17T07:00:33,2026-09-12T09:00:33
ku2024_data (3).xls,ke2404,3203,3203,35.0558357,48.6760674,116.8866577,128.9528601,2024-12-17T07:00:33,2025-04-15T16:00:32
ku2024_data (3).xls,ke2425,5123,4344,35.0625114,49.6246033,106.9775737,129.0178528,2024-12-17T07:00:31,2025-06-29T16:02:03
ku2024_data (3).xls,ke2409,2658,1909,35.0673599,40.1765366,123.5600433,128.9412994,2024-12-17T07:00:44,2025-04-06T16:04:02
ku2024_data (3).xls,ke2410,14634,14633,35.07584,49.3180275,111.0832062,128.9736633,2024-12-17T07:00:45,2026-04-29T16:00:32
ku2024_data (4).xls,ke2408,3006,3006,35.0611954,48.696888,116.9871063,128.9541016,2024-12-17T07:00:32,2025-04-08T16:00:33
ku2024_data (4).xls,ke2419,1745,1727,35.0513992,35.1393967,128.9309235,128.9582977,2024-12-19T00:00:33,2025-03-27T09:02:01
ku2024_data (4).xls,ke2416,170,168,35.0766733,35.1434364,128.9332955,128.9504242,2024-12-18T04:00:34,2024-12-27T09:04:04
ku2024_data (4).xls,ke2414,529,521,35.0946045,35.2576599,128.935379,129.0532227,2024-12-18T04:00:34,2025-02-02T09:01:14
ku2024_data (4).xls,ke2413,189,189,35.0946388,35.1623878,128.9394073,128.9656941,2024-12-18T04:10:33,2024-12-26T09:00:41
ku2024_data (4).xls,ke2418,754,746,35.0662498,35.2073368,128.8397827,128.9664917,2024-12-19T00:00:33,2025-03-22T09:00:50
ku2024_data (4).xls,ke2415,1090,1087,35.0864771,35.2664074,128.7307434,129.0112152,2024-12-18T04:00:38,2025-02-26T09:00:35
ku2024_data (4).xls,ke2417,1835,1832,35.0902634,37.5797272,127.9812622,128.9694977,2024-12-19T00:00:36,2025-04-10T09:00:46
ku2024_data (4).xls,ke2420,602,599,35.0835419,35.1377983,128.936554,128.9541779,2024-12-19T00:00:33,2025-03-31T09:02:03
