id,species_group,species_kr,species_en,species_sci,location_tag,total_records,valid_records,sampled_points,start_date,end_date,duration_days,total_distance_km,max_displacement_km,max_speed_kmh,avg_speed_kmh,min_lat,max_lat,min_lon,max_lon,migration_type
ku2601,cormorant,민물가마우지,Great Cormorant,Phalacrocorax carbo,괴산군/대전,2099,1965,655,2026-05-21,2026-07-14,54.0,484.0,73.9,93.0,1.7,36.285,36.9481,127.0333,127.9706,지역 수계 분산 (Regional Dispersal)
ku2603,cormorant,민물가마우지,Great Cormorant,Phalacrocorax carbo,괴산군/대전,704,671,671,2026-05-27,2026-06-23,27.1,243.3,73.4,93.0,0.9,36.4278,36.9436,127.3906,127.9706,지역 수계 분산 (Regional Dispersal)
ku2604,cormorant,민물가마우지,Great Cormorant,Phalacrocorax carbo,괴산군/대전,13198,13165,1317,2026-05-27,2026-09-11,107.0,1245.6,116.0,78.0,0.8,36.3823,36.9439,127.3928,128.6888,지역 수계 분산 (Regional Dispersal)
ku2602,cormorant,민물가마우지,Great Cormorant,Phalacrocorax carbo,괴산군/대전,1113,1077,1077,2026-05-27,2026-08-27,92.0,373.8,73.4,92.0,0.3,36.4279,36.9439,127.3928,127.9706,지역 수계 분산 (Regional Dispersal)
ku2605,cormorant,민물가마우지,Great Cormorant,Phalacrocorax carbo,괴산군/대전,1092,976,976,2026-05-27,2026-07-30,64.0,438.5,73.4,92.0,0.8,36.3712,36.9439,127.3837,127.9706,지역 수계 분산 (Regional Dispersal)
ku2606,magpie,까치,Oriental Magpie,Pica sericea,충주,245,224,224,2026-07-20,2026-09-11,53.1,132.4,74.2,11.0,0.4,36.4285,36.9584,127.3928,127.9122,지역 수계 분산 (Regional Dispersal)
ku2506,magpie,까치,Oriental Magpie,Pica sericea,충주,320,304,304,2025-06-24,2025-08-31,67.7,147.7,5.7,33.0,1.3,36.9632,37.0218,127.8902,127.9669,국지적 텃새 (Local Resident)
ku2505,magpie,까치,Oriental Magpie,Pica sericea,충주,419,156,156,2025-06-24,2025-09-27,94.7,81.0,2.7,30.0,2.8,36.9537,36.9853,127.9383,127.97,국지적 텃새 (Local Resident)
ku2504,magpie,까치,Oriental Magpie,Pica sericea,충주,141,53,53,2025-06-05,2025-06-19,13.7,5.4,1.6,13.0,2.5,36.9641,36.976,127.9557,127.9678,국지적 텃새 (Local Resident)
ku2503,magpie,까치,Oriental Magpie,Pica sericea,충주,315,239,239,2025-04-16,2025-05-09,22.5,11.9,0.3,40.0,2.4,37.0543,37.0572,127.8694,127.8726,국지적 텃새 (Local Resident)
ku2501,magpie,까치,Oriental Magpie,Pica sericea,충주,398,337,337,2025-04-16,2025-05-02,16.0,10.8,0.8,53.0,1.7,37.0232,37.0295,127.9214,127.9261,국지적 텃새 (Local Resident)
ku2502,magpie,까치,Oriental Magpie,Pica sericea,충주,302,275,275,2025-04-17,2025-05-09,22.1,47.1,0.9,52.0,1.9,37.0487,37.0587,127.8687,127.8767,국지적 텃새 (Local Resident)
ke2411,swan,큰고니,Whooper Swan,Cygnus cygnus,을숙도,12559,12556,1256,2024-12-17,2026-04-24,493.0,10574.7,1953.9,147.0,2.1,34.9957,52.6745,127.5143,133.0958,대륙간 장거리 철새 (Transcontinental)
ke2424,swan,큰고니,Whooper Swan,Cygnus cygnus,을숙도,7322,7321,1221,2024-12-17,2026-04-13,482.0,9420.9,1956.2,103.0,1.3,35.0153,52.6791,123.2685,132.7379,대륙간 장거리 철새 (Transcontinental)
